ID,Sta,cast,nisk,qc,YYYY,MM,DD,TIME,Lat,Long,btm,Press,CTD T,CTD Salt,Bot Sal,qc,CTD O2,Bot O2,qc,DIC,qc,TA,qc,pH TOT,pH Temp,qc,CO3,qc,Sil,Amm,Nitra,Nitri,PO4,qc,Line,PO4 4 co2sys,SIL 4 co2sys,nut flag,TA 4 co2sys,TA flag,DIC 4 co2sys,DIC flag,Blanc1,pH TOT in situ,pCO2,CO2,HCO3,CO3,Calc,Arag,Revelle Factor,Blanc2,pH TOT in situ,pCO2,CO2,HCO3,CO3,Calc,Arag,Revelle Factor
650114,65,1,14,2,2016,05,25,16:42:45,39.891,-125.201,2478,59.7,8.89,33.665,-999.000,9,149.7,-999,9,2173.2,6,2243.4,2,7.5260,25.0,2,72.26,2,29.65,0.01,25.96,0.11,1.89,2,8,1.89,29.65,2,2243.4,2,2173.2,2,,7.768,787.03,35.97,2068.20,69.02,1.64,1.04,17.35,,7.768,787.03,35.97,2068.20,69.02,1.64,1.04,17.35
650115,65,1,15,2,2016,05,25,16:44:12,39.891,-125.201,2478,50.2,9.11,33.618,-999.000,9,156.6,159.3,2,2168.9,2,2241.8,2,7.5391,25.0,2,74.70,2,28.43,0.06,25.02,0.28,1.81,2,8,1.81,28.43,2,2241.8,2,2168.9,2,,7.774,775.37,35.19,2063.30,70.41,1.68,1.06,17.23,,7.774,775.37,35.19,2063.30,70.41,1.68,1.06,17.23
650116,65,1,16,2,2016,05,25,16:45:46,39.891,-125.201,2478,39.8,9.43,33.488,-999.000,9,166.0,-999,9,2154.9,2,2235.9,2,7.5637,25.0,2,77.33,2,25.63,0.29,22.82,0.39,1.73,2,8,1.73,25.63,2,2235.9,2,2154.9,2,,7.798,731.95,32.89,2047.61,74.41,1.78,1.13,16.87,,7.798,731.95,32.89,2047.61,74.41,1.78,1.13,16.87
650117,65,1,17,2,2016,05,25,16:47:32,39.891,-125.201,2478,30.6,11.39,33.097,-999.000,9,242.8,-999,9,2074.3,2,2221.7,2,7.7529,25.0,2,112.16,2,10.59,0.72,10.24,0.23,1.04,2,8,1.04,10.59,2,2221.7,2,2074.3,2,,7.967,478.40,20.20,1942.70,111.40,2.67,1.70,13.87,,7.967,478.40,20.20,1942.70,111.40,2.67,1.70,13.87
650118,65,1,18,2,2016,05,25,16:49:11,39.891,-125.201,2478,20.9,11.93,33.036,-999.000,9,278.6,268.4,2,2043.8,2,2218.4,2,7.8189,25.0,2,128.84,2,6.61,0.37,6.06,0.16,0.77,2,8,0.77,6.61,2,2218.4,2,2043.8,2,,8.028,407.98,16.94,1898.99,127.88,3.07,1.95,12.81,,8.028,407.98,16.94,1898.99,127.88,3.07,1.95,12.81
650119,65,1,19,2,2016,05,25,16:51:00,39.891,-125.201,2478,10.6,13.16,33.074,-999.000,9,275.9,-999,9,2034.3,2,2219.1,2,7.8479,25.0,2,138.24,2,6.58,0.18,4.99,0.14,0.69,2,8,0.69,6.58,2,2219.1,2,2034.3,2,,8.033,403.79,16.12,1883.58,134.60,3.24,2.07,12.43,,8.033,403.79,16.12,1883.58,134.60,3.24,2.07,12.43
650120,65,1,20,2,2016,05,25,16:52:21,39.891,-125.201,2478,4.0,13.21,33.076,-999.000,9,275.6,-999,9,2035.0,2,2220.7,6,7.8491,25.0,6,135.91,6,6.35,0.17,4.92,0.13,0.67,2,8,0.67,6.35,2,2220.7,2,2035.0,2,,8.035,402.98,16.07,1883.69,135.24,3.26,2.08,12.40,,8.035,402.98,16.07,1883.69,135.24,3.26,2.08,12.40
650121,65,1,21,2,2016,05,25,16:52:33,39.891,-125.201,2478,3.8,13.21,33.076,-999.000,9,275.6,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,-999,-999,-999,9,8,0.60,4.60,3,2210.9,3,2022.3,3,,-999.000,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,,8.014,428.16,17.07,1909.30,130.76,3.15,2.01,12.71
650122,65,1,22,2,2016,05,25,16:52:40,39.891,-125.201,2478,3.8,13.21,33.076,-999.000,9,275.6,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,-999,-999,-999,9,8,0.60,4.60,3,2210.9,3,2022.3,3,,-999.000,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,,8.014,428.21,17.07,1909.30,130.76,3.15,2.01,12.71
660101,66,1,1,2,2016,05,26,05:09:04,41.718,-125.657,2859,2502.1,1.75,34.633,34.634,2,82.8,-999,9,2381.0,6,2436.0,6,7.4527,25.0,6,63.42,3,169.46,0.08,40.07,0.10,2.85,2,9,2.85,169.46,2,2436.0,2,2381.0,2,,7.700,730.33,42.83,2278.76,59.41,0.86,0.56,18.86,,7.700,730.33,42.83,2278.76,59.41,0.86,0.56,18.86
